"","x"
"1036","ENSG00000254602"
"1037","SLC47A2"
"1038","LINC02604"
"1039","NAPSA"
"1040","ZNF630"
"1041","SNAI3"
"1042","TCFL5"
"1043","POLH"
"1044","LINC00663"
"1045","ZNF680"
"1046","ZBTB3"
"1047","N6AMT1"
"1048","ALG10B"
"1049","ZNF662"
"1050","DUS2"
"1051","ENSG00000272849"
"1052","ENSG00000177788"
"1053","MLANA"
"1054","ZNF112"
"1055","ZNF234"
"1056","ZNF780A"
"1057","ZNF302"
"1058","ZNF253"
"1059","ZNF616"
"1060","ZNF766"
"1061","ZNF572"
"1062","HOMEZ"
"1063","TMEM147-AS1"
"1064","ENSG00000269044"
"1065","BACE1-AS"
"1066","ZNF626"
"1067","ZNF546"
"1068","ZNF397"
"1069","AKR1B10"
"1070","SULT1C2"
"1071","MLC1"
"1072","FBXO30-DT"
"1073","SOX9-AS1"
"1074","ENSG00000248709"
"1075","CTD-3080P12.3"
"1076","ENSG00000246090"
"1077","ENSG00000272320"
"1078","PLD1"
"1079","ABCG5"
"1080","FAM99B"
"1081","SLC22A25"
"1082","LPAL2"
"1083","TTC31"
"1084","KIF12"
"1085","LINC01146"
"1086","MTCYBP21"
"1087","MIR3936HG"
"1088","ENSG00000197099"
"1089","ENSG00000254237"
"1090","C1QTNF6"
"1091","ENSG00000287558"
"1092","ENSG00000287848"
"1093","MTND4P20"
"1094","UICLM"
"1095","ENSG00000273295"
"1096","GCNT1P3"
"1097","ENSG00000270060"
"1098","LINC01504"
"1099","NADK2-AS1"
"1100","MRPL23-AS1"
"1101","RPL7AP15"
"1102","LINC01091"
"1103","ENSG00000230953"
"1104","CCDC162P"
"1105","SEC14L4"
"1106","SLC2A2"
"1107","SCN8A"
"1108","ACAD10"
"1109","OBSL1"
"1110","ZC3H12B"
"1111","TMEM150C"
"1112","BDH1"
"1113","GALM"
"1114","ING4"
"1115","TMEM169"
"1116","ENSG00000255468"
"1117","GPC6"
"1118","CEP43"
"1119","MTFR1L"
"1120","GSTA4"
"1121","PCTP"
"1122","C2orf72"
"1123","GJB1"
"1124","TARS2"
"1125","ENSG00000286024"
"1126","CTXND1"
"1127","GLYATL3"
"1128","UGT2A3P7"
"1129","CCND2P1"
"1130","ADCY10"
"1131","CCDC150"
"1132","ENSG00000274225"
"1133","ENSG00000250132"
"1134","IFT122"
"1135","SFXN2"
"1136","TMCO6"
"1137","DELE1"
"1138","USP40"
"1139","SLC26A1"
"1140","NKAIN3"
