"","x"
"832","SH3BP4"
"833","ATXN1L"
"834","USP22"
"835","STK35"
"836","HIPK1"
"837","BCAR1"
"838","DR1"
"839","CRK"
"840","RBM15B"
"841","MIER3"
"842","MED21"
"843","DENND4A"
"844","HOOK1"
"845","BUD13"
"846","PPP6R3"
"847","TRNT1"
"848","TXNDC9"
"849","TVP23B"
"850","GSKIP"
"851","MBD4"
"852","EDEM3"
"853","CFAP97"
"854","UBA6"
"855","YAP1"
"856","PTGFRN"
"857","SPTBN1"
"858","TCF20"
"859","RNF8"
"860","EXT1"
"861","R3HCC1L"
"862","CDC42EP1"
"863","TRIM47"
"864","TXLNA"
"865","FAM98A"
"866","MARS2"
"867","DLAT"
"868","CCDC85C"
"869","GMFB"
"870","BCL2L1"
"871","BAIAP2L1"
"872","GART"
"873","PLEKHA1"
"874","NUP35"
"875","CENPB"
"876","LETM1"
"877","TIGD5"
"878","VHL"
"879","HSPA14"
"880","RRP36"
"881","PRCC"
"882","CERK"
"883","ZC3H18"
"884","TRIM21"
"885","POLR2B"
"886","TOP3A"
"887","TM9SF3"
"888","NOP14"
"889","ZDHHC9"
"890","PMM2"
"891","SLC10A7"
"892","BTBD1"
"893","CHUK"
"894","CAPZA1"
"895","RC3H2"
"896","CAND1"
"897","DDX10"
"898","POLR1B"
"899","DPH2"
"900","ABCE1"
"901","SEH1L"
"902","NDUFAF4"
"903","ZC3H15"
"904","POLR1C"
"905","DHX30"
"906","AK6"
"907","DHX33"
"908","UTP25"
"909","PARP1"
"910","WWC1"
"911","RCE1"
"912","ITGB1-DT"
"913","RNASEH1"
"914","SIRT6"
"915","DENND6A"
"916","WDR4"
"917","CSNK2A1"
"918","SLC38A1"
"919","UBR5"
"920","KANSL3"
"921","CCNJ"
"922","NUP188"
"923","DHX8"
"924","ABCF1"
"925","DNM1L"
"926","GSK3A"
"927","ERI1"
"928","PPP2R5E"
"929","SETD1A"
"930","GTF3C4"
"931","ICE1"
"932","CD276"
"933","EIF3A"
"934","ENO1"
"935","UBE2D2"
"936","RAI1"
"937","FRMD8"
"938","MTA2"
"939","RNF126"
"940","ZNF598"
"941","ARMC8"
"942","MLLT1"
"943","MLXIP"
"944","HMGXB3"
"945","LARP4B"
"946","DBF4"
"947","B3GALNT2"
"948","NANP"
"949","BAG5"
"950","PRPF40A"
"951","WDR82"
"952","PITPNB"
"953","TRIM25"
"954","SOCS7"
"955","WDR26"
"956","SRSF12"
"957","ITPRIPL2"
"958","AAK1"
"959","MAP3K3"
"960","FOXK1"
"961","ZNF142"
"962","PRRC2A"
"963",NA
"964","CCDC93"
"965","UIMC1"
"966","BTBD7"
"967","TGFBRAP1"
"968","CPSF6"
"969","RAB3B"
"970","POGK"
"971","SPTLC1"
"972","SENP6"
"973","UBP1"
"974","TAOK1"
"975","HSF1"
"976","FAM83H"
"977","TRAM2"
"978","UBIAD1"
"979","MFN1"
"980","DHX16"
"981","PSME3"
"982","ABCF3"
"983","EIF2B4"
"984","DCAF4"
"985","PTPN23"
"986","STRIP1"
"987","AXIN1"
"988","INPP1"
"989","TTLL11"
"990","CSNK1D"
"991","EDC4"
"992","CAMSAP1"
"993","EFL1"
"994","CAPN15"
"995","PCNX3"
"996","FBXL18"
"997","CYB561D1"
"998","RAB43"
"999","NDST1"
"1000","PDXK"
"1001","UNC119B"
"1002","DNAJC5"
"1003","RGP1"
"1004","NCKAP1"
"1005","NPLOC4"
"1006","MTMR1"
"1007","POLR3E"
"1008","ARIH2"
"1009","KDM1A"
"1010","ANKRD52"
"1011","IP6K1"
"1012","PPP6R1"
"1013","TTL"
"1014","SLC35E1"
"1015","ZNF584"
"1016","CHPF2"
"1017","IMP4"
"1018","PUS1"
"1019","MTAP"
"1020","MRPS23"
"1021","RRP1B"
"1022","DHX37"
"1023","HEATR1"
"1024","ZBTB24"
"1025","GEMIN5"
"1026","DDX42"
"1027","QRICH1"
"1028","NAA35"
"1029","RINT1"
"1030","NSUN2"
"1031","WDR74"
"1032","NOB1"
"1033","RRP9"
"1034","DIMT1"
"1035","PRPF4"
"1036","SUPT16H"
"1037","GRWD1"
"1038","EIF2S1"
"1039","TSR1"
"1040","NOL6"
"1041","NAA25"
"1042","UTP4"
"1043","TASOR2"
"1044","SF3A3"
"1045","KARS1"
"1046","NOC2L"
"1047","EIF3D"
"1048","TRAPPC3"
"1049","BRMS1"
"1050","PITHD1"
"1051","IBTK"
"1052","REXO2"
"1053","GLRX3"
"1054","PPM1G"
"1055","PUS7"
"1056","KHSRP"
"1057","CDK4"
"1058","PWP1"
"1059","PES1"
"1060","EIF3B"
"1061","USP14"
"1062","PSMD2"
"1063","NSFL1C"
"1064","ADRM1"
"1065","PSMD11"
"1066","MTRR"
"1067","ST3GAL4"
"1068","RPS6KB1"
"1069","CAB39"
"1070","KPNA1"
"1071","SZRD1"
"1072","UBE2L3"
"1073","ZFP91"
"1074","USP10"
"1075","DDR1"
"1076","OPTN"
"1077","C1orf216"
"1078","CEBPG"
"1079","TUBB2A"
"1080","GET4"
"1081","DCUN1D2"
"1082","FLII"
"1083","SLC15A4"
"1084","DIP2B"
"1085","KIF13B"
"1086","TDRD7"
"1087","WASF1"
"1088","SVIL-AS1"
"1089","MALT1"
"1090","RHOQ"
"1091","TNFRSF10A-AS1"
"1092","ANKLE2"
"1093","MICALL1"
"1094","PMP22"
"1095","CYLD"
"1096","CSGALNACT2"
"1097","IPO7"
"1098","SMAGP"
"1099","CDC42SE2"
"1100","ATP6V1B2"
"1101","MOB1B"
"1102","RRAS2"
"1103","RAB10"
"1104","CD59"
"1105","SMC5"
"1106","CDK7"
"1107","CRTC3"
"1108","PLEKHM2"
"1109","PRDM4"
"1110","PRKCI"
"1111","NSMAF"
"1112","CCNYL1"
"1113","INO80"
"1114","ZPR1"
"1115","OSBPL8"
"1116","ANKRD13A"
"1117","ARL8B"
"1118","MAPK8"
"1119","RAB18"
"1120","MAP2K4"
"1121","RECQL"
"1122","CORO1C"
"1123","SMOX"
"1124","CALU"
"1125","ANXA5"
"1126","ZW10"
"1127","EIF3J"
"1128","NCL"
"1129","UBA2"
"1130","HNRNPAB"
"1131","CCT5"
"1132","DHX15"
"1133","SYNCRIP"
"1134","BLOC1S3"
"1135","MFSD14B"
"1136","TPD52L2"
"1137","MBD2"
"1138","NANS"
"1139","DEGS1"
"1140","CKAP4"
"1141","SH3GLB1"
"1142","ATG13"
"1143","PIK3C2A"
"1144","ABCB1"
"1145","TNPO1"
"1146","FBXW11"
"1147","SLC39A6"
"1148","LMTK2"
"1149","MOSMO"
"1150","ARHGAP21"
"1151","CLINT1"
"1152","PGM3"
"1153","ZNF587B"
"1154","TUBA1C"
"1155","NAA50"
"1156","CDV3"
"1157","MTPN"
"1158","GNAI3"
"1159","KPNA4"
"1160","ANKRD40"
"1161","PLXNA2"
"1162","SAMD8"
"1163","SAR1A"
"1164","RHEB"
"1165","TAF5L"
"1166","DDX27"
"1167","B4GALT3"
"1168","SART3"
"1169","TNFRSF12A"
"1170","GTF2H1"
"1171","EIF2B2"
"1172","MARCHF5"
"1173","MBD1"
"1174","LTN1"
"1175","INO80C"
"1176","IFNAR2"
"1177","CUL1"
"1178","PPIF"
"1179","SDCBP2"
"1180","HAUS6"
"1181","VNN1"
"1182","PDCD5"
"1183","EIF2S2"
"1184","RABGGTB"
"1185","TAGLN2"
"1186","GK"
"1187","LPGAT1"
"1188","WIPF3"
"1189","B3GAT3"
"1190","CASP7"
"1191","USB1"
"1192","STEAP1"
"1193","GARS1"
"1194","CARS1"
"1195","SEC61G"
"1196","ALYREF"
"1197","TTC39A"
"1198","B3GALT6"
"1199","FARSA"
"1200","DYNLT1"
"1201","EMG1"
"1202","TOMM40"
"1203","PA2G4"
"1204","SRM"
"1205","BOP1"
"1206","LMNB2"
"1207","CCP110"
"1208","SNRPD1"
"1209","RAN"
"1210","SNRPB"
"1211","EIF4A1P10"
"1212","HDAC2"
"1213","FKBP1A"
"1214","TRIP6"
"1215","RAB8B"
"1216","ST6GALNAC4"
"1217","GTPBP2"
"1218","FADS3"
