"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","ensembl","symbol"
"137.126","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000078098","FAP"
"137.127","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000151422","FER"
"137.128","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000077782","FGFR1"
"137.129","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000022267","FHL1"
"137.130","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000054598","FOXC1"
"137.131","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000111206","FOXM1"
"137.132","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000196924","FLNA"
"137.133","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000180447","GAS1"
"137.134","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000164949","GEM"
"137.135","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000162676","GFI1"
"137.136","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000127955","GNAI1"
"137.137","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000167110","GOLGA2"
"137.138","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000175793","SFN"
"137.139","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000103342","GSPT1"
"137.140","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000116062","MSH6"
"137.141","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000197386","HTT"
"137.142","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000019991","HGF"
"137.143","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000072571","HMMR"
"137.144","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000129514","FOXA1"
"137.145","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000153187","HNRNPU"
"137.146","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000160310","PRMT2"
"137.147","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000126457","PRMT1"
"137.148","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000114315","HES1"
"137.149","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000126803","HSPA2"
"137.150","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000080824","HSP90AA1"
"137.151","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000136273","HUS1"
"137.152","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000114378","HYAL1"
"137.153","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000115738","ID2"
"137.154","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000172201","ID4"
"137.155","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000017427","IGF1"
"137.156","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000113141","IK"
"137.157","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000115008","IL1A"
"137.158","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000125538","IL1B"
"137.159","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000136634","IL10"
"137.160","GO:0000278",5.44107109894741e-41,1,175,860,"mitotic cell cycle","BP","ENSG00000149503","INCENP"
