"","x"
"411","ENSMUSG00000034910"
"412","ENSMUSG00000021701"
"413","ENSMUSG00000022893"
"414","ENSMUSG00000002032"
"415","ENSMUSG00000053175"
"416","ENSMUSG00000005483"
"417","ENSMUSG00000032425"
"418","ENSMUSG00000097857"
"419","ENSMUSG00000022309"
"420","ENSMUSG00000045817"
"421","ENSMUSG00000086916"
"422","ENSMUSG00000079243"
"423","ENSMUSG00000032501"
"424","ENSMUSG00000112239"
"425","ENSMUSG00000111158"
"426","ENSMUSG00000049225"
"427","ENSMUSG00000025656"
"428","ENSMUSG00000024807"
"429","ENSMUSG00000001053"
"430","ENSMUSG00000112148"
"431","ENSMUSG00000007872"
"432","ENSMUSG00000037892"
"433","ENSMUSG00000035934"
"434","ENSMUSG00000108574"
"435","ENSMUSG00000036452"
"436","ENSMUSG00000090877"
"437","ENSMUSG00000098439"
"438","ENSMUSG00000035011"
"439","ENSMUSG00000109115"
"440","ENSMUSG00000097007"
"441","ENSMUSG00000035673"
"442","ENSMUSG00000026121"
"443","ENSMUSG00000105762"
"444","ENSMUSG00000022797"
"445","ENSMUSG00000050974"
"446","ENSMUSG00000026796"
"447","ENSMUSG00000045968"
"448","ENSMUSG00000108750"
"449","ENSMUSG00000083000"
"450","ENSMUSG00000108526"
"451","ENSMUSG00000089703"
"452","ENSMUSG00000060206"
"453","ENSMUSG00000091971"
"454","ENSMUSG00000045679"
"455","ENSMUSG00000035235"
"456","ENSMUSG00000060036"
"457","ENSMUSG00000054499"
"458","ENSMUSG00000034993"
"459","ENSMUSG00000094441"
"460","ENSMUSG00000014599"
"461","ENSMUSG00000107559"
"462","ENSMUSG00000026971"
"463","ENSMUSG00000029919"
"464","ENSMUSG00000049038"
"465","ENSMUSG00000105519"
"466","ENSMUSG00000022332"
"467","ENSMUSG00000050315"
"468","ENSMUSG00000096192"
"469","ENSMUSG00000040270"
"470","ENSMUSG00000028413"
"471","ENSMUSG00000054752"
"472","ENSMUSG00000043091"
"473","ENSMUSG00000068262"
"474","ENSMUSG00000057719"
"475","ENSMUSG00000031352"
"476","ENSMUSG00000022594"
"477","ENSMUSG00000041915"
"478","ENSMUSG00000025421"
"479","ENSMUSG00000054477"
"480","ENSMUSG00000100009"
"481","ENSMUSG00000042485"
"482","ENSMUSG00000026153"
"483","ENSMUSG00000013878"
"484","ENSMUSG00000027995"
"485","ENSMUSG00000038195"
"486","ENSMUSG00000108494"
"487","ENSMUSG00000018378"
"488","ENSMUSG00000023905"
"489","ENSMUSG00000097974"
"490","ENSMUSG00000097195"
"491","ENSMUSG00000046916"
"492","ENSMUSG00000045252"
"493","ENSMUSG00000094918"
"494","ENSMUSG00000095300"
"495","ENSMUSG00000022952"
"496","ENSMUSG00000025372"
"497","ENSMUSG00000027347"
"498","ENSMUSG00000063060"
"499","ENSMUSG00000001525"
"500","ENSMUSG00000022043"
"501","ENSMUSG00000112041"
"502","ENSMUSG00000039652"
"503","ENSMUSG00000087090"
"504","ENSMUSG00000037295"
"505","ENSMUSG00000018648"
"506","ENSMUSG00000029167"
"507","ENSMUSG00000000278"
"508","ENSMUSG00000025938"
"509","ENSMUSG00000000782"
"510","ENSMUSG00000000732"
"511","ENSMUSG00000103818"
"512","ENSMUSG00000020864"
"513","ENSMUSG00000024411"
"514","ENSMUSG00000024947"
"515","ENSMUSG00000042532"
"516","ENSMUSG00000024030"
"517","ENSMUSG00000025138"
"518","ENSMUSG00000036478"
"519","ENSMUSG00000054150"
"520","ENSMUSG00000049804"
"521","ENSMUSG00000033499"
"522","ENSMUSG00000101304"
"523","ENSMUSG00000005469"
"524","ENSMUSG00000056071"
"525","ENSMUSG00000107747"
"526","ENSMUSG00000010492"
"527","ENSMUSG00000001604"
"528","ENSMUSG00000047767"
"529","ENSMUSG00000028128"
"530","ENSMUSG00000033565"
"531","ENSMUSG00000032033"
"532","ENSMUSG00000031618"
"533","ENSMUSG00000040694"
"534","ENSMUSG00000044938"
"535","ENSMUSG00000027583"
"536","ENSMUSG00000084349"
"537","ENSMUSG00000031453"
"538","ENSMUSG00000087176"
"539","ENSMUSG00000031609"
"540","ENSMUSG00000026395"
"541","ENSMUSG00000111375"
"542","ENSMUSG00000015396"
"543","ENSMUSG00000099843"
"544","ENSMUSG00000028278"
"545","ENSMUSG00000025159"
"546","ENSMUSG00000032340"
"547","ENSMUSG00000059201"
"548","ENSMUSG00000020621"
"549","ENSMUSG00000028961"
"550","ENSMUSG00000025647"
"551","ENSMUSG00000041261"
"552","ENSMUSG00000028675"
"553","ENSMUSG00000035021"
"554","ENSMUSG00000034687"
"555","ENSMUSG00000079104"
"556","ENSMUSG00000016409"
"557","ENSMUSG00000020176"
"558","ENSMUSG00000056313"
"559","ENSMUSG00000057329"
"560","ENSMUSG00000032199"
"561","ENSMUSG00000110279"
"562","ENSMUSG00000022508"
"563","ENSMUSG00000027692"
"564","ENSMUSG00000019948"
"565","ENSMUSG00000030707"
"566","ENSMUSG00000038074"
"567","ENSMUSG00000032355"
"568","ENSMUSG00000102841"
"569","ENSMUSG00000039834"
"570","ENSMUSG00000005583"
"571","ENSMUSG00000029468"
"572","ENSMUSG00000075324"
"573","ENSMUSG00000078486"
"574","ENSMUSG00000027165"
"575","ENSMUSG00000010067"
"576","ENSMUSG00000101625"
"577","ENSMUSG00000015312"
"578","ENSMUSG00000031007"
"579","ENSMUSG00000061689"
"580","ENSMUSG00000022428"
"581","ENSMUSG00000102324"
"582","ENSMUSG00000000282"
"583","ENSMUSG00000021559"
"584","ENSMUSG00000052957"
"585","ENSMUSG00000043015"
"586","ENSMUSG00000040945"
"587","ENSMUSG00000055737"
"588","ENSMUSG00000068284"
"589","ENSMUSG00000087413"
"590","ENSMUSG00000069441"
"591","ENSMUSG00000049133"
"592","ENSMUSG00000024851"
"593","ENSMUSG00000059897"
"594","ENSMUSG00000027861"
