"","x"
"835","Lipc"
"836","Mcu"
"837","Hsd3b7"
"838","Lrit1"
"839","Ergic1"
"840","Gm48878"
"841","Abhd17c"
"842","Pdss2"
"843","Hpgd"
"844",NA
"845","Mospd2"
"846","Cyp2c54"
"847","Acy1"
"848","Ap2a2"
"849","Gm36041"
"850","Aqp8"
"851","Glo1-ps"
"852","Slc17a4"
"853","Sgpl1"
"854","Paxx"
"855","Car8"
"856","Fam210a"
"857","Gbp2b"
"858","Gclc"
"859","Stom"
"860","Smagp"
"861","Loxl4"
"862","Gas2"
"863","Sesn3"
"864","Clic3"
"865","Pfkl"
"866","Gm37449"
"867","Gm15065"
"868","Gm13750"
"869","Gm2830"
"870","Gm7357"
"871","Gm6180"
"872","Gm8242"
"873","Gm6206"
"874","Cd82"
"875","Nutf2-ps2"
"876","Xrcc1"
"877","mt-Tq"
"878","Igfbp5"
"879","Atp8b4"
"880","Nxt2"
"881","Kcna2"
"882","Slc39a8"
"883","mt-Tc"
"884","Gm48407"
"885","Rnf128"
"886","Siae"
"887","Cnot6l"
"888","Akr1d1"
"889","Hook3"
"890","Arl6ip1"
"891","mt-Tn"
"892","Reps2"
"893","Dhrs9"
"894","Ropn1l"
"895","Ethe1"
"896","mt-Ty"
"897","Kat2b-ps"
"898","Gm7879"
"899","9930021J03Rik"
"900","Ddc"
"901","Nln"
"902","Dock8"
"903","9530068E07Rik"
"904","Nid2"
"905","Sdr9c7"
"906","Klkb1"
"907","Ggact"
"908","Arhgap6"
"909","Shank2"
"910","C2cd2"
"911","Uevld"
"912","Tk1"
"913","Gm4617"
"914","Tspan2"
"915","Myl9"
"916","Epop"
"917","Pik3cb"
"918","Zmym3"
"919","Prpf18"
"920","Pygb"
"921","Ctnnbip1"
"922","Smurf1"
"923","Commd1"
"924","Gm15899"
"925","Gm44096"
"926","Ndst1"
"927","Zpr1"
"928","Carhsp1"
"929","Itpr3"
"930","Tex30"
"931","Gm11223"
"932","Col5a3"
"933","Dtx4"
"934","Klrk1"
"935","Stk17b"
"936","Folr2"
"937","Gm29783"
"938","Tecpr2"
"939","B4galt6"
"940","Usp6nl"
"941","Tspan8"
"942","2510002D24Rik"
"943","Avpr1a"
"944","Xk"
